,index,County,GeoName,Mother.s.Hispanic.Origin,Year,Births,Total.Population,Birth.Rate,Female.Population,Fertility.Rate,Average.Birth.Weight,Average.Age.of.Mother,Average.LMP.Gestational.Age,lat,long,Precipitation,Temperature,PI,GDP,mrate,trate,GDP_per,female.proportion,Elder_pop,RUCC,bachelor_percentage,Crude.Marriage.Rate
202,"Alameda County, CA, 2020","Alameda County, CA","Alameda, CA",3,2020,527,NA,NA,NA,NA,3189.35,32.8,38.51,37.6469,-121.8888,8.42,61.7,88841,121709013,NA,NA,NA,NA,0.098711261,1,49.6,2.169958795
203,"Alameda County, CA, 2020","Alameda County, CA","Alameda, CA",1,2020,4659,368904,12.63,86782,53.69,3322.67,29.38,38.73,37.6469,-121.8888,8.42,61.7,88841,121709013,-12.63,35,329.9205566,0.235242773,0.098711261,1,49.6,2.169958795
204,"Alameda County, CA, 2020","Alameda County, CA","Alameda, CA",2,2020,12130,1293419,9.38,270780,44.8,3246.7,32.63,38.79,37.6469,-121.8888,8.42,61.7,88841,121709013,-9.38,38.25,94.09867413,0.209352113,0.098711261,1,49.6,2.169958795
13877,"Tulare County, CA, 2020","Tulare County, CA","Tulare, CA",1,2020,3974,309519,12.84,69786,56.95,3306.73,27.85,38.59,36.2202,-118.8005,11.61,56.1,45556,17662200,-12.84,34.79,57.06337898,0.225465965,0.07939959,2,15.2,2.266085529
13878,"Tulare County, CA, 2020","Tulare County, CA","Tulare, CA",2,2020,2639,159161,16.58,27988,94.29,3323.83,28.52,38.76,36.2202,-118.8005,11.61,56.1,45556,17662200,-16.58,31.05,110.9706524,0.175847098,0.07939959,2,15.2,2.266085529
13879,"Tulare County, CA, 2020","Tulare County, CA","Tulare, CA",3,2020,45,NA,NA,NA,NA,3263.89,35,37.8,36.2202,-118.8005,11.61,56.1,45556,17662200,NA,NA,NA,NA,0.07939959,2,15.2,2.266085529
11736,"San Bernardino County, CA, 2020","San Bernardino County, CA","San Bernardino, CA",1,2020,15261,1201620,12.7,278567,54.78,3258.16,28.35,38.42,34.8414,-116.1785,4.44,68.2,45499,82202264,-12.7,34.93,68.4095338,0.231826201,0.079102113,1,21.9,2.339528113
11737,"San Bernardino County, CA, 2020","San Bernardino County, CA","San Bernardino, CA",2,2020,9907,987563,10.03,181245,54.66,3220.86,29.91,38.45,34.8414,-116.1785,4.44,68.2,45499,82202264,-10.03,37.6,83.23748865,0.183527532,0.079102113,1,21.9,2.339528113
11738,"San Bernardino County, CA, 2020","San Bernardino County, CA","San Bernardino, CA",3,2020,1538,NA,NA,NA,NA,3226.58,30.55,38.35,34.8414,-116.1785,4.44,68.2,45499,82202264,NA,NA,NA,NA,0.079102113,1,21.9,2.339528113
10610,"Pinal County, AZ, 2020","Pinal County, AZ","Pinal, AZ",1,2020,1824,148976,12.24,30819,59.18,3305.68,27.18,38.66,32.9044,-111.3448,4.96,71,40979,8752073,-12.24,35.39,58.74820777,0.206872248,0.150388497,1,20.9,2.37150943
10611,"Pinal County, AZ, 2020","Pinal County, AZ","Pinal, AZ",2,2020,2802,331852,8.44,49880,56.17,3346.44,28.46,38.67,32.9044,-111.3448,4.96,71,40979,8752073,-8.44,39.19,26.37342249,0.150307969,0.150388497,1,20.9,2.37150943
10612,"Pinal County, AZ, 2020","Pinal County, AZ","Pinal, AZ",3,2020,24,NA,NA,NA,NA,3406.42,29.62,39,32.9044,-111.3448,4.96,71,40979,8752073,NA,NA,NA,NA,0.150388497,1,20.9,2.37150943
13823,"Tolland County, CT, 2020","Tolland County, CT","Tolland, CT",1,2020,90,9302,9.68,2445,36.81,3313.27,29.39,38.66,41.855,-72.3365,44.08,51.3,60819,4875457,-9.68,37.95,524.129972,0.2628467,0.114428951,1,42.8,2.375972302
13824,"Tolland County, CT, 2020","Tolland County, CT","Tolland, CT",2,2020,1062,141298,7.52,29793,35.65,3365.1,31.23,38.93,41.855,-72.3365,44.08,51.3,60819,4875457,-7.52,40.11,34.50478421,0.210852241,0.114428951,1,42.8,2.375972302
13825,"Tolland County, CT, 2020","Tolland County, CT","Tolland, CT",3,2020,NA,NA,NA,NA,NA,3521,31,40,41.855,-72.3365,44.08,51.3,60819,4875457,NA,NA,NA,NA,0.114428951,1,42.8,2.375972302
11364,"Riverside County, CA, 2020","Riverside County, CA","Riverside, CA",1,2020,15412,1259524,12.24,291908,52.8,3298.26,28.41,38.64,33.7437,-115.9938,6.62,70.2,47702,78285711,-12.24,35.39,62.15499744,0.23176057,0.10444651,1,23.5,2.402666916
11365,"Riverside County, CA, 2020","Riverside County, CA","Riverside, CA",2,2020,9505,1229664,7.73,207428,45.82,3297.52,30.45,38.66,33.7437,-115.9938,6.62,70.2,47702,78285711,-7.73,39.9,63.66431074,0.168686731,0.10444651,1,23.5,2.402666916
11366,"Riverside County, CA, 2020","Riverside County, CA","Riverside, CA",3,2020,2038,NA,NA,NA,NA,3297.2,30.67,38.65,33.7437,-115.9938,6.62,70.2,47702,78285711,NA,NA,NA,NA,0.10444651,1,23.5,2.402666916
2268,"Cherokee County, GA, 2008","Cherokee County, GA","Cherokee, GA",2,2008,2745,189328,14.5,39946,68.72,3296.97,29.2,38.5,34.2439,-84.4762,47.62,59.7,38140,5030084,-14.5,33.13,26.56809347,0.210988338,0.110951597,1,27,2.470588235
2269,"Cherokee County, GA, 2008","Cherokee County, GA","Cherokee, GA",3,2008,27,NA,NA,NA,NA,3323.78,28.63,39,34.2439,-84.4762,47.62,59.7,38140,5030084,NA,NA,NA,NA,0.110951597,1,27,2.470588235
2270,"Cherokee County, GA, 2008","Cherokee County, GA","Cherokee, GA",1,2008,587,18943,30.99,4434,132.39,3273.37,27.02,38.8,34.2439,-84.4762,47.62,59.7,38140,5030084,-30.99,16.64,265.5378768,0.234070633,0.110951597,1,27,2.470588235
7783,"Madera County, CA, 2020","Madera County, CA","Madera, CA",1,2020,1531,93791,16.32,21547,71.05,3299.87,28.17,38.7,37.2181,-119.7626,11.06,58,44072,6240917,-16.32,31.31,66.54068088,0.229734196,0.097311756,3,16.4,2.472531015
7784,"Madera County, CA, 2020","Madera County, CA","Madera, CA",2,2020,529,63970,8.27,11737,45.07,3317.11,29.4,38.73,37.2181,-119.7626,11.06,58,44072,6240917,-8.27,39.36,97.5600594,0.18347663,0.097311756,3,16.4,2.472531015
7785,"Madera County, CA, 2020","Madera County, CA","Madera, CA",3,2020,37,NA,NA,NA,NA,3253.95,30.46,38.41,37.2181,-119.7626,11.06,58,44072,6240917,NA,NA,NA,NA,0.097311756,3,16.4,2.472531015
12024,"San Mateo County, CA, 2020","San Mateo County, CA","San Mateo, CA",1,2020,1902,180184,10.56,39433,48.23,3302.32,29.9,38.51,37.4229,-122.329,10.95,58.8,142264,124434270,-10.56,37.07,690.5955579,0.21884851,0.117956028,1,52.5,2.514490973
12025,"San Mateo County, CA, 2020","San Mateo County, CA","San Mateo, CA",2,2020,5212,578124,9.02,107856,48.32,3257.88,33.65,38.77,37.4229,-122.329,10.95,58.8,142264,124434270,-9.02,38.61,215.2380285,0.186562052,0.117956028,1,52.5,2.514490973
12026,"San Mateo County, CA, 2020","San Mateo County, CA","San Mateo, CA",3,2020,602,NA,NA,NA,NA,3192.82,31.55,38.27,37.4229,-122.329,10.95,58.8,142264,124434270,NA,NA,NA,NA,0.117956028,1,52.5,2.514490973
13967,"Union County, NC, 2020","Union County, NC","Union, NC",1,2020,445,28623,15.55,6418,69.34,3194.1,28.68,38.43,34.9884,-80.5307,56.76,62.3,59055,7126856,-15.55,32.08,248.9905321,0.224225273,0.088664633,1,37.7,2.531737009
13968,"Union County, NC, 2020","Union County, NC","Union, NC",2,2020,1883,215939,8.72,40191,46.85,3323.4,30.11,38.66,34.9884,-80.5307,56.76,62.3,59055,7126856,-8.72,38.91,33.00402428,0.186122007,0.088664633,1,37.7,2.531737009
13969,"Union County, NC, 2020","Union County, NC","Union, NC",3,2020,NA,NA,NA,NA,NA,0,0,0,34.9884,-80.5307,56.76,62.3,59055,7126856,NA,NA,NA,NA,0.088664633,1,37.7,2.531737009
6903,"Kern County, CA, 2020","Kern County, CA","Kern, CA",1,2020,6466,497166,13.01,110916,58.3,3310.32,27.81,38.64,35.3426,-118.7301,6.05,63.4,44063,48674498,-13.01,34.62,97.90391539,0.223096511,0.075309365,2,17.6,2.534708203
6904,"Kern County, CA, 2020","Kern County, CA","Kern, CA",2,2020,5745,404196,14.21,72124,79.65,3274.11,28.45,38.55,35.3426,-118.7301,6.05,63.4,44063,48674498,-14.21,33.42,120.4230076,0.178438183,0.075309365,2,17.6,2.534708203
6905,"Kern County, CA, 2020","Kern County, CA","Kern, CA",3,2020,145,NA,NA,NA,NA,3222.39,30.06,38.26,35.3426,-118.7301,6.05,63.4,44063,48674498,NA,NA,NA,NA,0.075309365,2,17.6,2.534708203
12203,"Santa Clara County, CA, 2020","Santa Clara County, CA","Santa Clara, CA",1,2020,5563,471586,11.8,107093,51.95,3293.27,29.39,38.47,37.2318,-121.6951,12.47,60.5,122785,340009883,-11.8,35.83,720.9923174,0.227091135,0.098557762,1,54.4,2.560877387
12204,"Santa Clara County, CA, 2020","Santa Clara County, CA","Santa Clara, CA",2,2020,12351,1435519,8.6,278383,44.37,3221.67,33,38.62,37.2318,-121.6951,12.47,60.5,122785,340009883,-8.6,39.03,236.8550211,0.193924985,0.098557762,1,54.4,2.560877387
12205,"Santa Clara County, CA, 2020","Santa Clara County, CA","Santa Clara, CA",3,2020,1661,NA,NA,NA,NA,3213.33,32.56,38.31,37.2318,-121.6951,12.47,60.5,122785,340009883,NA,NA,NA,NA,0.098557762,1,54.4,2.560877387
8447,"Merced County, CA, 2020","Merced County, CA","Merced, CA",1,2020,2609,171835,15.18,38609,67.57,3325.46,27.8,38.64,37.1919,-120.7177,5.77,63.4,43980,9099866,-15.18,32.45,52.95699945,0.224686472,0.078233997,2,14.1,2.56448631
8448,"Merced County, CA, 2020","Merced County, CA","Merced, CA",2,2020,1078,107417,10.04,19814,54.41,3311.27,29.18,38.69,37.1919,-120.7177,5.77,63.4,43980,9099866,-10.04,37.59,84.71532439,0.184458698,0.078233997,2,14.1,2.56448631
8449,"Merced County, CA, 2020","Merced County, CA","Merced, CA",3,2020,45,NA,NA,NA,NA,3238.38,30.53,37.71,37.1919,-120.7177,5.77,63.4,43980,9099866,NA,NA,NA,NA,0.078233997,2,14.1,2.56448631
13004,"St. Charles County, MO, 2020","St. Charles County, MO","St. Charles, MO",1,2020,209,14348,14.57,3200,65.31,3258.38,29.23,38.34,38.782,-90.6749,47.12,56.1,58134,15534121,-14.57,33.06,1082.668037,0.2230276,0.10852675,1,41.8,2.570591664
13005,"St. Charles County, MO, 2020","St. Charles County, MO","St. Charles, MO",2,2020,3848,391856,9.82,74894,51.38,3301.16,30.45,38.5,38.782,-90.6749,47.12,56.1,58134,15534121,-9.82,37.81,39.64242222,0.191126332,0.10852675,1,41.8,2.570591664
13006,"St. Charles County, MO, 2020","St. Charles County, MO","St. Charles, MO",3,2020,16,NA,NA,NA,NA,3265.56,29.25,38.12,38.782,-90.6749,47.12,56.1,58134,15534121,NA,NA,NA,NA,0.10852675,1,41.8,2.570591664
2304,"Cherokee County, GA, 2020","Cherokee County, GA","Cherokee, GA",2,2020,2069,235800,8.77,43999,47.02,3335.16,30,38.67,34.2439,-84.4762,66.1,61,56552,7195518,-8.77,38.86,30.51534351,0.186594572,0.09990802,1,38.4,2.59674644
2305,"Cherokee County, GA, 2020","Cherokee County, GA","Cherokee, GA",3,2020,NA,NA,NA,NA,NA,3734.25,32,39.5,34.2439,-84.4762,66.1,61,56552,7195518,NA,NA,NA,NA,0.09990802,1,38.4,2.59674644
2306,"Cherokee County, GA, 2020","Cherokee County, GA","Cherokee, GA",1,2020,455,29474,15.44,6311,72.1,3228.07,28.45,38.61,34.2439,-84.4762,66.1,61,56552,7195518,-15.44,32.19,244.1310307,0.21412092,0.09990802,1,38.4,2.59674644
